,artist_name,formed_year,country
0,Coldplay,1996,"London, England"
1,The Cure,1977,"Crawley, England"
2,Belle & Sebastian,,
3,Franz Ferdinand,2001,"Glasgow, Scotland"
4,Vetusta Morla,1998,Madrid
5,Iron Maiden,1975,"Leyton, England"
6,Queen,1971,"London, England"
7,Radiohead,1991,"Abingdon, England"
8,Ed Sheeran,2010,"Halifax, England"
9,Arcade Fire,2003,"Quebec, Quebec, Canada"
10,David Bowie,1969,"London, England"
11,Metallica,1981,"Los Angeles, USA"
12,AC/DC,1973,"Sydney, Australia"
13,Extremoduro,1987,"Plasencia, Spain"
14,Estopa,1999,"Barcelona, Spain"
15,The Weeknd,2010,"Toronto, Canada"
16,Fito y Fitipaldis,,
17,Marea,1997,Berriozar
18,Hans Zimmer,1977,"Frankfurt, Germany"
19,La Oreja de Van Gogh,1996,"San Sebastian, Spain"
20,Adele,2006,"Tottenham, UK"
21,Bruce Springsteen,1969,"New Jersey, USA"
22,Billie Eilish,2015,"Los Angeles, USA"
23,Bruno Mars,2005,"Honolulu, Hawaii, USA"
24,Imagine Dragons,2008,"Las Vegas, USA"
25,C. Tangana,,
26,Bad Religion,1979,"Los Angeles, US"
27,Linkin Park,1995,"California, USA"
28,Joan Manuel Serrat,1965,"Barcelona, España"
29,Maroon 5,2002,"California, USA"
30,System Of A Down,1994,"Glendale, California, USA"
31,Paco de Lucía,1965,"Algesiras, Cadix, Espagne"
32,Nirvana,1988,"Washington, USA"
33,Måneskin,2016,Italian
34,The Offspring,1984,"Huntington Beach, California, USA"
35,Guns N' Roses,1985,"Los Angeles, California, USA"
36,Green Day,1987,"East Bay, California, USA"
37,Camela,1994,"Madrid, Spain"
38,Evanescence,1995,"Arkansas, USA"
39,Slipknot,1995,"Des Moines, Iowa, USA"
